brand,color,current_price,namex,original_price,stock_status,url
Samsung,Violet,6464,"Samsung Galaxy A05S 6GB RAM, 128GB - Violet",7600,In stock,https://dream2000.com/en/samsung-galaxy-a05s-6gb-ram-128gb-violet.html
Xiaomi,Silver,7999,"Xiaomi Redmi 12 8GB Ram, 256GB - Polar Silver",9400,In stock,https://dream2000.com/en/redmi-12-8gb-ram-256gb-polar-silver.html
Xiaomi,Black,7999,"Xiaomi Redmi 12 8GB Ram, 256GB - Midnight Black",9400,In stock,https://dream2000.com/en/redmi-12-8gb-ram-256gb-midnight-black.html
Infinix,White,4555,"Infinix Smart 7 4GB Ram, 64GB X6515 - Icland White",5400,In stock,https://dream2000.com/en/infinix-smart-7-4gb-ram-64gb-x6515-icland-white.html
Realme,Gold,6299,"Realme C53 6GB Ram, 128GB - Champion Gold",7400,In stock,https://dream2000.com/en/realme-c53-6gb-ram-128gb-champion-gold.html
Oppo,Black,9999,"Oppo A98 5G 8GB Ram, 256GB - Cool Black",11700,In stock,https://dream2000.com/en/oppo-a98-5g-8gb-ram-256gb-cool-black.html
Oppo,Blue,9999,"Oppo A98 5G 8GB Ram, 256GB - Dreamy Blue",11700,In stock,https://dream2000.com/en/oppo-a98-5g-8gb-ram-256gb-dreamy-blue.html
Samsung,Cream,27777,"Samsung S23 FE 8GB Ram, 256GB - Cream",32500,In stock,https://dream2000.com/en/samsung-s23-fe-8gb-ram-256gb-cream.html
Xiaomi,Green,13999,"Xiaomi Redmi Note 13 Pro 8GB RAM, 256GB - Forest Green",16400,In stock,https://dream2000.com/en/xiaomi-redmi-note-13-pro-8gb-ram-256gb-forest-green.html
Xiaomi,Blue,9299,"Xiaomi Redmi Note 13 8GB RAM, 128GB - Ice Blue",10900,In stock,https://dream2000.com/en/xiaomi-redmi-note-13-8gb-ram-128gb-ice-blue.html
Xiaomi,Green,9299,"Xiaomi Redmi Note 13 8GB RAM, 128GB - Mint Green",10900,In stock,https://dream2000.com/en/xiaomi-redmi-note-13-8gb-ram-128gb-mint-green.html
itel,Black,690,ITel it2160 1.7 inch - Dual SIM - Black,900,In stock,https://dream2000.com/en/itel-it2160-1-7-inch-dual-sim-black.html
Honor,Silver,12699,"Honor X8b 8GB RAM, 512GB - Titanium Silver",14900,In stock,https://dream2000.com/en/honor-x8b-8gb-ram-512gb-titanium-silver.html
Vivo,Rose Gold,13490,"Mobile Vivo V29E 8GB RAM, 256GB - Rose Gold",15800,In stock,https://dream2000.com/en/mobile-vivo-v29e-8gb-ram-256gb-rose-gold.html
Oppo,Blue,5799,"Oppo A18 4GB RAM, 128GB - Glowing Blue",6800,In stock,https://dream2000.com/en/oppo-a18-4gb-ram-128gb-glowing-blue.html
Vivo,Purple,7290,"Mobile Vivo Y17s 6GB RAM, 128GB - Glitter Purple",8600,In stock,https://dream2000.com/en/mobile-vivo-y17s-6gb-ram-128gb-glitter-purple.html
Vivo,Green,7290,"Mobile Vivo Y17s 6GB RAM, 128GB - Forest Green",8600,In stock,https://dream2000.com/en/mobile-vivo-y17s-6gb-ram-128gb-forest-green.html
Realme,Black,16999,"Realme 11 Pro Plus 5G 8GB Ram, 256GB - Black",19900,In stock,https://dream2000.com/en/realme-11-pro-plus-5g-8gb-ram-256gb-black.html
Infinix,White,5555,"Infinix Hot 30i X669C 8GB Ram, 128GB - White",6500,In stock,https://dream2000.com/en/infinix-hot-30i-x669c-8gb-ram-128gb-white.html
Oppo,Blue,8999,"Oppo A78 5G 8GB Ram, 128GB - Glowing Blue",10600,In stock,https://dream2000.com/en/oppo-a78-5g-8gb-ram-128gb-glowing-blue.html
Xiaomi,Gold,8800,"Redmi Note 12 8GB Ram, 128GB - Sunrise Gold",10300,In stock,https://dream2000.com/en/redmi-note-12-8gb-ram-128gb-sunrise-gold.html
Samsung,Light Blue,11777,"Samsung Galaxy A25 5G 8GB RAM, 256GB - Light Blue",13800,In stock,https://dream2000.com/en/samsung-galaxy-a25-5g-8gb-ram-256gb-light-blue.html
Realme,Sky Blue,4888,"Realme Note 50 4GB RAM, 128GB - Sky Blue",5800,In stock,https://dream2000.com/en/realme-note-50-4gb-ram-128gb-sky-blue.html
Realme,Midnight Black,4888,"Realme Note 50 4GB RAM, 128GB - Midnight Black",5800,In stock,https://dream2000.com/en/realme-note-50-4gb-ram-128gb-midnight-black.html
Oppo,Gold,6666,"OPPO A38 6GB RAM, 128GB - Glowing Gold",7800,In stock,https://dream2000.com/en/oppo-a38-6gb-ram-128gb-glowing-gold.html
